n_locations,RP,RP_Out_of_Sample,WS,EVPI,VSS
1,1708.577690366929,Not computed,1698.4959106103827,10.081779756546212,16.918197553014352
2,1074.7377736274127,Not computed,1074.7377736274127,0.0,50.307838145748065
3,1010.6132540115577,Not computed,1010.2317028669232,0.3815511446344999,72.29379479555428
