n_locations,RP,RP_Out_of_Sample,WS,EVPI,VSS
1,2021.4426804721438,Not computed,1850.532973050183,170.90970742196077,35.53613565398837
2,1417.1768936012063,Not computed,1360.2027478662792,56.974145734927106,17.179448972730825
3,1246.18245021961,Not computed,1206.1114564393374,40.0709937802726,165.38446072847614
