n_locations,RP,RP_Out_of_Sample,WS,EVPI,VSS
1,1709.8848883736562,Not computed,1706.108841985949,3.7760463877070833,9.549694368615746e-12
2,1074.7377736274127,Not computed,1074.7377736274127,0.0,50.307838145748065
