n_locations,RP,RP_Out_of_Sample,WS,EVPI,VSS
1,730.3637685891908,Not computed,730.3637685891908,0.0,0.0
2,546.3711949873282,Not computed,546.1666571340025,0.20453785332563257,2.6147972675971687e-12
3,437.59616629558775,Not computed,437.59616629558775,0.0,0.0
